Time,I,Q
12-53-22.281,6226,12934
12-53-22.285,6226,12933
12-53-22.289,6231,12933
12-53-22.359,6229,12946
12-53-22.516,6202,12957
12-53-22.543,6176,12976
12-53-22.609,6165,12987
12-53-22.668,6134,12999
12-53-22.730,6102,13014
12-53-22.793,6075,13030
12-53-22.855,6058,13042
12-53-22.922,6062,13042
12-53-22.980,6070,13044
12-53-23.043,6111,13017
12-53-23.105,6076,13034
12-53-23.168,6050,13045
12-53-23.230,6033,13078
12-53-23.297,6048,13070
12-53-23.359,6054,13048
12-53-23.426,6055,13053
12-53-23.547,6049,13070
12-53-23.617,6062,13053
12-53-23.672,6076,13053
12-53-23.727,6101,13040
12-53-23.801,6071,13054
12-53-23.859,6062,13059
12-53-23.926,6087,13070
12-53-23.988,6152,13023
12-53-24.047,6160,13002
12-53-24.113,6169,12996
12-53-24.176,6180,12998
12-53-24.234,6192,13002
12-53-24.301,6149,13015
12-53-24.359,6123,13022
12-53-24.520,6161,12980
12-53-24.547,6139,12986
12-53-24.613,6101,13007
12-53-24.676,6079,13029
12-53-24.734,6076,13027
12-53-24.801,6069,13029
12-53-24.863,6083,13013
12-53-24.926,6060,13025
12-53-24.992,5999,13077
12-53-25.047,6027,13064
12-53-25.113,6152,13037
12-53-25.176,6137,13010
12-53-25.234,6088,13030
12-53-25.297,6044,13059
12-53-25.359,6036,13070
12-53-25.426,6022,13067
12-53-25.520,6024,13067
12-53-25.547,6018,13062
12-53-25.613,6022,13056
12-53-25.676,6027,13059
12-53-25.734,6038,13045
12-53-25.801,6038,13053
12-53-25.863,6024,13065
12-53-25.926,6063,13041
12-53-25.988,6125,13004
12-53-26.051,6137,13001
12-53-26.117,6147,12989
12-53-26.176,6132,12998
12-53-26.238,6129,12995
12-53-26.289,6122,13001
12-53-26.367,6105,13019
12-53-26.523,6013,13052
12-53-26.539,6029,13038
12-53-26.602,6034,13035
12-53-26.664,6010,13027
12-53-26.727,5994,13061
12-53-26.793,6015,13060
12-53-26.855,6012,13067
12-53-26.914,6013,13075
12-53-26.977,6036,13067
12-53-27.039,6043,13063
12-53-27.105,6048,13062
12-53-27.164,6041,13060
12-53-27.227,6045,13056
12-53-27.293,6023,13059
12-53-27.352,6033,13055
12-53-27.414,6068,13034
12-53-27.527,6007,13056
12-53-27.543,6011,13074
12-53-27.605,6011,13080
12-53-27.668,6011,13071
12-53-27.727,6041,13048
12-53-27.793,6099,13009
12-53-27.855,6138,12991
12-53-27.914,6145,12985
12-53-27.977,6146,12985
12-53-28.039,6148,12988
12-53-28.105,6080,12995
12-53-28.168,6018,13037
12-53-28.227,5991,13049
12-53-28.293,5980,13064
12-53-28.355,5973,13064
12-53-28.512,6024,13026
12-53-28.543,5989,13059
12-53-28.609,5994,13058
12-53-28.668,5999,13051
12-53-28.730,6005,13059
12-53-28.797,6009,13063
12-53-28.855,6030,13059
12-53-28.922,6047,13050
12-53-28.980,6050,13049
12-53-29.043,6054,13052
12-53-29.105,6024,13069
12-53-29.168,6002,13071
12-53-29.230,6005,13064
12-53-29.297,6012,13063
12-53-29.355,6004,13069
12-53-29.414,6028,13057
12-53-29.512,6029,13048
12-53-29.543,5997,13073
12-53-29.609,5990,13079
12-53-29.668,5978,13089
12-53-29.730,5997,13072
12-53-29.797,6074,13018
12-53-29.855,6111,13005
12-53-29.922,6120,12999
12-53-29.984,6124,12995
12-53-30.043,6122,12995
12-53-30.109,6128,12990
12-53-30.168,6114,12996
12-53-30.230,6102,13005
12-53-30.297,6059,13030
12-53-30.359,6030,13038
12-53-30.559,5951,13076
12-53-30.609,5987,13055
12-53-30.672,5995,13049
12-53-30.734,5982,13068
12-53-30.797,5999,13071
12-53-30.859,6013,13069
12-53-30.922,5997,13061
12-53-30.984,5994,13076
12-53-31.047,5989,13077
12-53-31.113,5983,13072
12-53-31.172,5998,13066
12-53-31.234,5990,13059
12-53-31.297,6008,13040
12-53-31.344,6025,13047
12-53-31.426,6014,13066
12-53-31.547,5998,13075
12-53-31.609,6016,13062
12-53-31.672,6002,13086
12-53-31.730,6088,13039
12-53-31.922,6129,13017
12-53-31.980,6131,12996
12-53-32.043,6144,12991
12-53-32.105,6149,12985
12-53-32.168,6142,12982
12-53-32.230,6140,12978
12-53-32.297,6128,12976
12-53-32.355,6108,12979
12-53-32.359,6046,13012
12-53-32.512,6035,13014
12-53-32.543,6024,13024
12-53-32.605,6021,13028
12-53-32.668,6053,13002
12-53-32.727,6055,13004
12-53-32.793,6014,13043
12-53-32.855,6103,13003
12-53-32.922,6128,12989
12-53-32.980,6103,12999
12-53-33.039,6069,13021
12-53-33.105,6034,13040
12-53-33.164,6011,13037
12-53-33.227,5997,13052
12-53-33.293,5993,13044
12-53-33.352,6004,13035
12-53-33.414,6023,13031
12-53-33.508,6039,13037
12-53-33.539,6024,13053
12-53-33.605,5979,13066
12-53-33.668,6025,13055
12-53-33.727,6051,13031
12-53-33.793,6050,13049
12-53-33.855,6150,12982
12-53-33.914,6148,12979
12-53-33.980,6165,12963
12-53-34.039,6197,12952
12-53-34.105,6186,12957
12-53-34.168,6171,12954
12-53-34.227,6156,12958
12-53-34.293,6152,12959
12-53-34.355,6090,12980
12-53-34.535,6032,13026
12-53-34.648,5995,13040
12-53-34.668,6035,13014
12-53-34.730,6012,13034
12-53-34.793,6007,13046
12-53-34.855,6015,13043
12-53-34.922,6060,13035
12-53-34.980,6040,13037
12-53-35.027,6026,13043
12-53-35.105,6016,13052
12-53-35.152,6009,13051
12-53-35.215,6019,13047
12-53-35.281,6036,13034
12-53-35.344,6031,13022
12-53-35.402,6046,13013
12-53-35.512,6038,13028
12-53-35.527,6012,13050
12-53-35.594,6014,13018
12-53-35.656,6059,13016
12-53-35.719,6052,13023
12-53-35.781,6152,13015
12-53-35.840,6156,12967
12-53-36.012,6169,12971
12-53-36.031,6170,12953
12-53-36.094,6162,12956
12-53-36.156,6143,12960
12-53-36.219,6118,13002
12-53-36.281,6051,13008
12-53-36.344,6045,12999
12-53-36.348,6039,13001
12-53-38.008,6010,12999
12-53-38.023,6022,13018
12-53-38.039,6109,12987
12-53-38.148,6058,13010
12-53-38.152,6059,13014
12-53-38.164,6060,13019
12-53-38.180,6045,13037
12-53-38.191,6170,12959
12-53-38.223,6141,12951
12-53-38.289,6063,13003
12-53-38.352,6021,13013
12-53-38.504,5986,13031
12-53-38.535,5998,13030
12-53-38.602,6017,13011
12-53-38.660,5969,13038
12-53-38.723,5965,13052
12-53-38.785,5965,13041
12-53-38.848,5974,13053
12-53-38.910,6010,13039
12-53-38.977,6049,13020
12-53-39.035,6071,13011
12-53-39.102,6075,13027
12-53-39.160,6022,13036
12-53-39.223,6006,13032
12-53-39.289,6027,13020
12-53-39.352,6049,13009
12-53-39.410,6044,13015
12-53-39.508,6048,13023
12-53-39.535,6036,13030
12-53-39.602,6012,13053
12-53-39.664,6024,13029
12-53-39.723,6073,13023
12-53-39.789,6137,12988
12-53-39.848,6120,13005
12-53-39.910,6151,12990
12-53-39.980,6185,12986
12-53-40.023,6153,12969
12-53-40.090,6128,12960
12-53-40.148,6103,12991
12-53-40.207,6029,13031
12-53-40.289,5972,13011
12-53-40.348,5941,13073
12-53-40.352,5939,13048
12-53-40.504,5998,13021
12-53-40.520,5980,13055
12-53-40.586,5982,13057
12-53-40.648,5983,13048
12-53-40.707,5991,13040
12-53-40.773,6017,13039
12-53-40.848,6039,13024
12-53-40.895,6048,13021
12-53-40.961,6036,13025
12-53-41.023,6017,13034
12-53-41.086,5979,13046
12-53-41.148,6016,13023
12-53-41.207,6023,13021
12-53-41.273,6015,13024
12-53-41.336,6011,13023
12-53-41.398,6005,13023
12-53-41.508,5986,13031
12-53-41.523,5983,13036
12-53-41.590,6036,13000
12-53-41.648,6044,13011
12-53-41.711,6057,13008
12-53-41.777,6147,12965
12-53-41.840,6141,12973
12-53-41.898,6148,12972
12-53-41.961,6131,12977
12-53-42.023,6114,12984
12-53-42.090,6088,12989
12-53-42.148,6007,13040
12-53-42.211,5975,13037
12-53-42.273,5925,13055
12-53-42.336,5938,13071
12-53-42.340,5985,13048
12-53-42.508,5984,13036
12-53-42.523,5958,13056
12-53-42.586,5953,13058
12-53-42.648,5957,13058
12-53-42.711,5958,13060
12-53-42.777,5956,13062
12-53-42.840,5955,13064
12-53-42.902,5975,13063
12-53-42.965,6001,13057
12-53-43.023,6023,13037
12-53-43.090,6025,13031
12-53-43.152,6013,13045
12-53-43.215,5995,13045
12-53-43.277,6001,13022
12-53-43.336,6032,13016
12-53-43.398,6054,13024
12-53-43.523,6034,13041
12-53-43.586,6017,13053
12-53-43.648,6050,13040
12-53-43.711,6023,13046
12-53-43.773,6119,13033
12-53-43.836,6130,12998
12-53-43.898,6145,13005
12-53-43.961,6241,12975
12-53-44.023,6186,12976
12-53-44.078,6149,12977
12-53-44.148,6158,12961
12-53-44.211,6146,12959
12-53-44.273,6074,12990
12-53-44.336,5956,13010
12-53-44.340,5939,13079
12-53-44.504,6028,13025
12-53-44.520,6015,13015
12-53-44.586,5977,13043
12-53-44.648,5953,13053
12-53-44.707,5950,13049
12-53-44.773,5955,13048
12-53-44.832,5963,13048
12-53-44.895,5989,13045
12-53-44.961,6032,13027
12-53-45.020,6035,13013
12-53-45.078,6003,13027
12-53-45.145,5976,13041
12-53-45.207,5963,13043
12-53-45.273,5966,13031
12-53-45.332,6009,12994
12-53-45.391,6041,13004
12-53-45.547,6025,13024
12-53-45.578,5988,13042
12-53-45.645,6003,13032
12-53-45.707,6066,12997
12-53-45.770,6131,13009
12-53-45.832,6135,12989
12-53-45.891,6202,12976
12-53-45.957,6241,12971
12-53-46.020,6253,12952
12-53-46.078,6180,12954
12-53-46.145,6163,12946
12-53-46.203,6178,12933
12-53-46.270,6103,12966
12-53-46.344,6045,12969
12-53-46.504,6052,12992
12-53-46.520,6025,13004
12-53-46.578,6016,13012
12-53-46.641,6019,13010
12-53-46.703,6014,13013
12-53-46.770,6017,13008
12-53-46.828,6035,13016
12-53-46.891,6041,13010
12-53-46.953,6065,12996
12-53-47.016,6066,12999
12-53-47.078,6046,13004
12-53-47.145,6009,13022
12-53-47.203,6001,13026
12-53-47.270,6024,13015
12-53-47.328,6076,12992
12-53-47.391,6096,12982
12-53-47.520,6050,13024
12-53-47.578,6031,13046
12-53-47.645,6012,13029
12-53-47.707,6071,13005
12-53-47.770,6120,12970
12-53-47.832,6189,12972
12-53-47.895,6326,12945
12-53-47.957,6536,12880
12-53-48.020,6441,12932
12-53-48.078,6400,12936
12-53-48.145,6308,12932
12-53-48.207,6266,12932
12-53-48.270,6256,12966
12-53-48.328,6151,12981
12-53-48.336,6160,12944
12-53-48.504,6058,12969
12-53-48.516,6018,13034
12-53-48.574,6092,12990
12-53-48.641,6072,12980
12-53-48.703,6067,12982
12-53-48.766,6067,12983
12-53-48.828,6080,12983
12-53-48.887,6076,12988
12-53-48.953,6088,12984
12-53-49.016,6106,12963
12-53-49.074,6134,12962
12-53-49.137,6124,12958
12-53-49.199,6097,12971
