Time,I,Q
11-41-19.871,6487,12909
11-41-19.879,6412,12981
11-41-19.930,6398,13005
11-41-20.090,6386,13011
11-41-20.113,6350,13028
11-41-20.176,6334,13039
11-41-20.238,6281,13063
11-41-20.305,6175,13081
11-41-20.363,6142,13055
11-41-20.430,5987,13177
11-41-20.488,5892,13201
11-41-20.551,5795,13266
11-41-20.617,5778,13272
11-41-20.676,6056,13183
11-41-20.738,6211,13116
11-41-20.801,6565,12936
11-41-20.879,6546,12923
11-41-20.883,6499,12906
11-41-20.992,6139,13060
11-41-21.105,6011,13227
11-41-21.121,6062,13217
11-41-21.184,6061,13150
11-41-21.246,6104,13075
11-41-21.309,5963,13107
11-41-21.371,6024,13085
11-41-21.438,6068,13087
11-41-21.496,6242,13045
11-41-21.559,6291,13009
11-41-21.625,6321,12971
11-41-21.684,6343,12939
11-41-21.746,6379,12885
11-41-21.809,6364,12884
11-41-21.871,6366,12889
11-41-21.938,6312,12852
11-41-22.090,6241,12889
11-41-22.121,6333,12820
11-41-22.184,6411,12784
11-41-22.246,6101,12846
11-41-22.309,5457,13270
11-41-22.371,5351,13408
11-41-22.434,5981,13094
11-41-22.496,6236,12950
11-41-22.559,6282,12941
11-41-22.625,6285,12950
11-41-22.684,6305,12974
11-41-22.746,6227,13052
11-41-22.809,6230,13033
11-41-22.871,6185,13064
11-41-22.938,5994,13096
11-41-22.996,5579,13246
11-41-23.090,5063,13543
11-41-23.121,5010,13653
11-41-23.180,5257,13532
11-41-23.242,5666,13315
11-41-23.309,5730,13227
11-41-23.367,5758,13221
11-41-23.434,5663,13281
11-41-23.496,5459,13421
11-41-23.559,5315,13463
11-41-23.711,5337,13424
11-41-23.742,5411,13407
11-41-23.809,5410,13403
11-41-23.867,5396,13421
11-41-23.934,5346,13428
11-41-24.094,5293,13473
11-41-24.121,5286,13481
11-41-24.184,5286,13483
11-41-24.246,5269,13479
11-41-24.313,5271,13491
11-41-24.371,5284,13480
11-41-24.434,5275,13494
11-41-24.496,5309,13464
11-41-24.559,5307,13471
11-41-24.625,5257,13490
11-41-24.684,5214,13509
11-41-24.746,5191,13537
11-41-24.809,5179,13541
11-41-24.871,5180,13533
11-41-24.938,5199,13527
11-41-25.090,5234,13504
11-41-25.125,5335,13461
11-41-25.184,5367,13437
11-41-25.246,5384,13427
11-41-25.313,5456,13390
11-41-25.371,5682,13292
11-41-25.438,5875,13092
11-41-25.496,6486,13004
11-41-25.559,5814,13204
11-41-25.625,5839,13239
11-41-25.684,5809,13247
11-41-25.730,5751,13288
11-41-25.809,5931,13243
11-41-25.871,6382,12853
11-41-25.938,6295,12870
11-41-26.094,6310,12850
11-41-26.125,6302,12881
11-41-26.168,6220,13004
11-41-26.230,6318,12787
11-41-26.297,6301,12849
11-41-26.453,6311,12793
11-41-26.488,6312,12781
11-41-26.547,6301,12782
11-41-26.613,6322,12754
11-41-26.672,6331,12779
11-41-26.734,6361,12749
11-41-26.801,6415,12730
11-41-26.863,6414,12710
11-41-26.926,6421,12723
11-41-26.984,6412,12729
11-41-27.098,6462,12690
11-41-27.113,6457,12705
11-41-27.172,6454,12704
11-41-27.230,6456,12681
11-41-27.297,6398,12700
11-41-27.359,6319,12738
11-41-27.426,6323,12769
11-41-27.484,6453,12703
11-41-27.547,6482,12672
11-41-27.609,6557,12659
11-41-27.672,6573,12668
11-41-27.734,6568,12677
11-41-27.797,6525,12715
11-41-27.855,6458,12746
11-41-27.922,6319,12796
11-41-29.594,6172,12856
11-41-29.609,6185,12847
11-41-29.625,6435,12721
11-41-29.641,6538,12666
11-41-29.734,6540,12649
11-41-29.754,6534,12660
11-41-29.770,6514,12683
11-41-29.785,6467,12682
11-41-29.797,6485,12681
11-41-29.859,6485,12677
11-41-29.922,6489,12671
11-41-30.098,6475,12677
11-41-30.113,6482,12685
11-41-30.172,6496,12677
11-41-30.234,6531,12655
11-41-30.297,6537,12628
11-41-30.359,6519,12650
11-41-30.531,6496,12651
11-41-30.547,6390,12724
11-41-30.609,6357,12747
11-41-30.672,6404,12738
11-41-30.730,6382,12716
11-41-30.797,6341,12742
11-41-30.855,6297,12763
11-41-30.922,6309,12756
11-41-30.980,6269,12782
11-41-31.094,6144,12913
11-41-31.105,6121,12879
11-41-31.168,6109,12922
11-41-31.230,6103,12900
11-41-31.293,6112,12897
11-41-31.355,6115,12890
11-41-31.414,6160,12859
11-41-31.480,6184,12833
11-41-31.543,6217,12804
11-41-31.605,6244,12775
11-41-31.668,6253,12759
11-41-31.727,6248,12744
11-41-31.793,6291,12708
11-41-31.855,6343,12678
11-41-31.914,6384,12651
11-41-32.105,6344,12703
11-41-32.164,6370,12701
11-41-32.227,6124,12777
11-41-32.289,6066,12942
11-41-32.352,6258,12919
11-41-32.430,6411,12774
11-41-32.492,6479,12692
11-41-32.551,6507,12682
11-41-32.617,6499,12711
11-41-32.676,6480,12728
11-41-32.734,6452,12733
11-41-32.801,6449,12733
11-41-32.863,6450,12736
11-41-32.930,6455,12734
11-41-32.988,6451,12728
11-41-33.086,6449,12731
11-41-33.102,6438,12735
11-41-33.176,6416,12750
11-41-33.238,6410,12757
11-41-33.289,6396,12777
11-41-33.352,6393,12755
11-41-33.410,6388,12784
11-41-33.488,6407,12758
11-41-33.551,6417,12759
11-41-33.602,6445,12745
11-41-33.664,6469,12731
11-41-33.738,6465,12730
11-41-33.789,6463,12724
11-41-33.852,6458,12731
11-41-33.930,6454,12730
11-41-33.934,6452,12731
11-41-34.086,6463,12728
11-41-34.102,6470,12718
11-41-34.164,6467,12717
11-41-34.223,6452,12730
11-41-34.289,6457,12721
11-41-34.352,6441,12733
11-41-34.414,6453,12741
11-41-34.477,6456,12729
11-41-34.633,6428,12757
11-41-34.664,6441,12733
11-41-34.723,6457,12728
11-41-34.789,6454,12733
11-41-34.848,6450,12747
11-41-34.910,6435,12745
11-41-34.992,6440,12740
11-41-35.102,6433,12759
11-41-35.160,6433,12737
11-41-35.238,6420,12767
11-41-35.289,6436,12744
11-41-35.348,6443,12708
11-41-35.410,6452,12688
11-41-35.473,6451,12673
11-41-35.535,6434,12662
11-41-35.602,6399,12678
11-41-35.660,6403,12683
11-41-35.723,6384,12695
11-41-35.789,6372,12708
11-41-35.848,6383,12720
11-41-35.992,6357,12723
11-41-36.086,6276,12762
11-41-36.102,6316,12761
11-41-36.160,6264,12806
11-41-36.223,6246,12795
11-41-36.289,6227,12828
11-41-36.352,6211,12843
11-41-36.410,6227,12844
11-41-36.473,6259,12820
11-41-36.535,6259,12790
11-41-36.602,6290,12773
11-41-36.664,6338,12722
11-41-36.723,6336,12710
11-41-36.789,6347,12686
11-41-36.848,6356,12668
11-41-36.910,6382,12638
11-41-36.973,6409,12645
11-41-37.086,6431,12632
11-41-37.102,6402,12649
11-41-37.160,6434,12619
11-41-37.234,6368,12665
11-41-37.289,6209,12741
11-41-37.348,6152,12825
11-41-37.410,6294,12785
11-41-37.477,6356,12720
11-41-37.535,6462,12667
11-41-37.602,6480,12679
11-41-37.664,6453,12709
11-41-37.723,6430,12714
11-41-37.789,6418,12733
11-41-37.852,6418,12730
11-41-37.910,6422,12719
11-41-37.914,6428,12717
11-41-38.086,6434,12721
11-41-38.102,6446,12706
11-41-38.164,6451,12703
11-41-38.223,6445,12723
11-41-38.289,6429,12730
11-41-38.352,6378,12782
11-41-38.410,6296,12828
11-41-38.477,6218,12876
11-41-38.539,6198,12901
11-41-38.602,6216,12898
11-41-38.664,6238,12872
11-41-38.723,6280,12846
11-41-38.789,6304,12842
11-41-38.848,6335,12814
11-41-38.910,6349,12812
11-41-38.977,6347,12812
11-41-39.090,6331,12842
11-41-39.105,6335,12829
11-41-39.164,6322,12845
11-41-39.227,6297,12855
11-41-39.289,6274,12861
11-41-39.352,6234,12893
11-41-39.410,6210,12908
11-41-39.477,6191,12927
11-41-39.535,6191,12928
11-41-39.602,6200,12916
11-41-39.664,6227,12905
11-41-39.723,6240,12913
11-41-39.785,6241,12901
11-41-39.848,6243,12904
11-41-39.910,6240,12911
11-41-40.066,6249,12904
11-41-40.102,6264,12892
11-41-40.160,6282,12895
11-41-40.223,6313,12863
11-41-40.289,6325,12820
11-41-40.352,6401,12765
11-41-40.410,6395,12725
11-41-40.477,6403,12689
11-41-40.535,6375,12704
11-41-40.602,6374,12701
11-41-40.664,6377,12704
11-41-40.727,6365,12709
11-41-40.793,6295,12703
11-41-40.852,6278,12719
11-41-40.914,6271,12758
11-41-40.980,6254,12750
11-41-41.070,6265,12769
11-41-41.105,6243,12777
11-41-41.168,6193,12809
11-41-41.227,6167,12827
11-41-41.293,6161,12827
11-41-41.449,6174,12825
11-41-41.453,6182,12821
11-41-41.480,6193,12809
11-41-41.543,6221,12791
11-41-41.605,6246,12765
11-41-41.664,6246,12738
11-41-41.727,6261,12723
11-41-41.793,6252,12723
11-41-41.852,6280,12711
11-41-41.914,6314,12690
11-41-42.070,6358,12670
11-41-42.102,6395,12655
11-41-42.164,6369,12673
11-41-42.223,6289,12710
11-41-42.289,6237,12731
11-41-42.352,5931,12970
11-41-42.410,5861,13094
11-41-42.477,5976,12982
11-41-42.535,6217,12854
11-41-42.602,6323,12813
11-41-42.664,6358,12790
11-41-42.727,6353,12814
11-41-42.789,6346,12804
11-41-42.848,6243,12840
11-41-42.910,6056,12946
11-41-42.977,5805,13127
11-41-43.070,5730,13191
11-41-43.105,5729,13205
11-41-43.164,5761,13179
11-41-43.227,5845,13108
11-41-43.293,5969,13035
11-41-43.352,6030,13026
11-41-43.398,6079,13002
11-41-43.465,6107,12992
11-41-43.527,6121,12981
11-41-43.594,6131,12988
11-41-43.656,6090,13002
11-41-43.715,6071,13014
