Time,I,Q
10-15-50.328,2015,14902
10-15-50.445,2037,14896
10-15-50.508,1725,14985
10-15-50.570,1935,14949
10-15-50.633,1895,15028
10-15-50.695,1518,15016
10-15-50.758,1688,14953
10-15-50.820,1911,14928
10-15-50.883,2234,14911
10-15-51.066,2006,15096
10-15-51.133,2117,15080
10-15-51.195,2103,15080
10-15-51.258,2066,15091
10-15-51.320,2055,15095
10-15-51.340,2037,15089
10-15-51.453,2074,15080
10-15-51.516,2189,15046
10-15-51.578,2324,15022
10-15-51.641,2326,15030
10-15-51.809,1953,15075
10-15-51.832,1777,14877
10-15-51.895,1517,15051
10-15-51.961,1780,14953
10-15-52.055,2014,14986
10-15-52.070,1985,14891
10-15-52.137,1922,14906
10-15-52.195,1972,14919
10-15-52.262,1988,14922
10-15-52.324,1990,14923
10-15-52.387,1982,14925
10-15-52.449,1960,14934
10-15-52.512,1939,14948
10-15-52.574,1925,14956
10-15-52.641,1912,14961
10-15-52.703,1903,14964
10-15-52.770,1903,14962
10-15-52.832,1903,14952
10-15-52.891,1914,14931
10-15-53.055,2106,14862
10-15-53.086,1901,14841
10-15-53.133,1808,14904
10-15-53.195,2046,15001
10-15-53.262,1371,15073
10-15-53.320,1632,15013
10-15-53.383,2285,14873
10-15-53.449,2049,14991
10-15-53.512,1862,15047
10-15-53.574,1859,15081
10-15-53.641,1908,15094
10-15-53.703,2048,15077
10-15-53.766,2141,15064
10-15-53.828,2270,15051
10-15-53.891,2432,15000
10-15-53.957,2326,15004
10-15-54.066,2045,14863
10-15-54.129,1471,15018
10-15-54.191,1824,14919
10-15-54.258,1977,14888
10-15-54.320,1874,14919
10-15-54.383,2017,14908
10-15-54.449,2019,14907
10-15-54.512,2013,14910
10-15-54.574,1986,14918
10-15-54.641,1958,14934
10-15-54.703,1951,14941
10-15-54.770,1952,14939
10-15-54.832,1957,14938
10-15-54.891,1962,14936
10-15-55.051,1968,14890
10-15-55.066,1965,14857
10-15-55.129,1769,14972
10-15-55.191,1845,15090
10-15-55.258,1540,15061
10-15-55.320,2201,14963
10-15-55.383,1847,14977
10-15-55.449,1815,15050
10-15-55.512,1864,15084
10-15-55.574,1938,15085
10-15-55.641,2078,15072
10-15-55.699,2131,15065
10-15-55.766,2179,15049
10-15-55.828,2287,15021
10-15-55.891,2305,15038
10-15-55.957,1875,15071
10-15-56.047,2244,14940
10-15-56.063,1516,14964
10-15-56.129,1743,15094
10-15-56.191,1904,14844
10-15-56.258,1919,14863
10-15-56.320,2006,14889
10-15-56.383,2038,14909
10-15-56.449,1990,14932
10-15-56.508,1950,14948
10-15-56.570,1891,14966
10-15-56.637,1849,14974
10-15-56.699,1843,14974
10-15-56.766,1848,14975
10-15-56.828,1865,14970
10-15-56.891,1909,14960
10-15-58.551,1982,14926
10-15-58.566,1759,14915
10-15-58.586,1650,14975
10-15-58.602,1895,15089
10-15-58.691,2009,15082
10-15-58.707,2045,15084
10-15-58.738,2098,15054
10-15-58.758,1906,14962
10-15-58.820,1751,14984
10-15-58.883,1686,15002
10-15-59.039,1602,15034
10-15-59.070,1666,15024
10-15-59.137,1827,14996
10-15-59.199,1882,14970
10-15-59.266,1904,14940
10-15-59.324,2043,14850
10-15-59.387,2034,14850
10-15-59.453,2046,14827
10-15-59.516,1781,14928
10-15-59.563,1594,14980
10-15-59.629,1509,15094
10-15-59.691,1841,15016
10-15-59.754,1925,14936
10-15-59.816,1836,15082
10-15-59.984,2051,15063
10-16-0.070,2515,14970
10-16-0.133,2567,14949
10-16-0.195,2509,14974
10-16-0.262,2285,15010
10-16-0.324,1771,15094
10-16-0.383,2056,14837
10-16-0.449,1616,14957
10-16-0.512,1758,15081
10-16-0.574,1779,14935
10-16-0.625,1729,14839
10-16-0.688,2080,14862
10-16-0.754,1973,14920
10-16-0.816,1979,14935
10-16-0.879,1916,14954
10-16-1.039,1754,14991
10-16-1.070,1811,14988
10-16-1.133,1894,14968
10-16-1.195,1931,14945
10-16-1.262,2165,14831
10-16-1.324,2065,14839
10-16-1.387,2156,14846
10-16-1.449,1814,14953
10-16-1.512,1474,15123
10-16-1.574,1500,15014
10-16-1.625,1808,14943
10-16-1.688,2017,14910
10-16-1.754,1752,15030
10-16-1.816,1810,15084
10-16-1.875,1999,15089
10-16-1.941,2138,15068
10-16-2.051,2180,15054
10-16-2.066,2236,15043
10-16-2.129,2221,15050
10-16-2.191,2139,15079
10-16-2.258,1754,15084
10-16-2.320,2126,14839
10-16-2.383,1820,14856
10-16-2.449,1411,15022
10-16-2.512,1929,14923
10-16-2.559,2022,14873
10-16-2.711,1941,14859
10-16-2.754,1920,14952
10-16-2.816,1865,14967
10-16-2.879,1831,14986
10-16-3.066,1690,15021
10-16-3.129,1757,15015
10-16-3.191,1855,14986
10-16-3.258,2124,14905
10-16-3.320,2106,14829
10-16-3.383,2229,14885
10-16-3.449,1802,14936
10-16-3.512,1803,15041
10-16-3.574,1356,15061
10-16-3.637,1435,15025
10-16-3.684,2156,14897
10-16-3.746,1787,15037
10-16-3.813,1837,15076
10-16-3.875,2087,15073
10-16-3.941,2217,15051
10-16-4.051,2263,15035
10-16-4.066,2260,15036
10-16-4.129,2065,15065
10-16-4.191,1806,15104
10-16-4.258,1871,14891
10-16-4.320,1948,14982
10-16-4.383,1523,15111
10-16-4.449,1995,14914
10-16-4.512,1675,14916
10-16-4.559,1987,14848
10-16-4.625,1921,14903
10-16-4.688,1987,14927
10-16-4.754,1977,14934
10-16-4.816,1956,14944
10-16-4.875,1946,14941
10-16-5.035,2055,14832
10-16-5.063,1809,14905
10-16-5.129,1898,14922
10-16-5.191,1777,15057
10-16-5.258,1395,15157
10-16-5.328,1643,15024
10-16-5.383,2050,14904
10-16-5.449,1708,15036
10-16-5.512,1734,15080
10-16-5.559,1764,15094
10-16-5.625,1787,15104
10-16-5.684,1839,15104
10-16-5.746,1778,15103
10-16-5.813,1793,15093
10-16-5.875,1794,15096
10-16-5.941,1707,15090
10-16-6.047,2005,15010
10-16-6.063,1903,14822
10-16-6.129,1437,15027
10-16-6.191,1969,14888
10-16-6.258,1205,15090
10-16-6.320,2051,14851
10-16-6.383,2060,14862
10-16-6.449,1851,14955
10-16-6.508,1901,14960
10-16-6.570,1879,14970
10-16-6.621,1865,14973
10-16-6.699,1855,14973
10-16-6.746,1871,14955
10-16-6.813,2026,14897
10-16-6.875,2141,14845
10-16-7.035,2168,14898
10-16-7.063,1924,14941
10-16-7.129,1297,15134
10-16-7.191,1419,15030
10-16-7.258,2112,14880
10-16-7.320,1865,15000
10-16-7.383,1784,15032
10-16-7.449,1693,15071
10-16-7.508,1643,15097
10-16-7.555,1689,15108
10-16-7.621,1770,15099
10-16-7.684,1908,15081
10-16-7.746,1943,15075
10-16-7.813,1826,15088
10-16-7.871,1731,14963
10-16-7.938,2256,14952
10-16-8.055,1513,15104
10-16-8.168,2016,14953
10-16-8.207,1918,14852
10-16-8.258,1874,14948
10-16-8.320,1622,15024
10-16-8.379,1420,15060
10-16-8.445,1379,15073
10-16-8.508,1362,15076
10-16-8.555,1575,15032
10-16-8.621,1839,14953
10-16-8.684,1979,14849
10-16-8.742,1355,15028
10-16-8.809,1883,14917
10-16-8.871,1275,15034
10-16-9.031,2125,14953
10-16-9.063,2017,14899
10-16-9.129,1795,14992
10-16-9.191,1770,15034
10-16-9.258,1716,15074
10-16-9.320,1704,15092
10-16-9.383,1715,15094
10-16-9.434,1737,15087
10-16-9.508,1828,15082
10-16-9.555,1819,15073
10-16-9.621,1798,15070
10-16-9.684,1833,15040
10-16-9.742,2366,14841
10-16-9.809,1520,14973
10-16-9.871,1375,15084
10-16-9.934,1989,14946
10-16-10.043,1970,14862
10-16-10.074,1926,14895
10-16-10.125,2032,14912
10-16-10.188,1897,14958
10-16-10.254,1800,14970
10-16-10.316,1792,14975
10-16-10.379,1781,14974
10-16-10.441,1674,15000
10-16-10.504,1639,15018
10-16-10.566,1699,14997
10-16-10.617,1863,14963
10-16-10.680,1961,14878
10-16-10.742,1995,14828
10-16-10.895,1724,14988
10-16-11.031,1317,15143
10-16-11.063,1413,15022
10-16-11.125,2071,14945
10-16-11.188,2015,14896
10-16-11.254,1797,14969
10-16-11.316,1737,15009
10-16-11.379,1743,15044
10-16-11.445,1804,15059
10-16-11.492,1864,15059
10-16-11.551,1801,15057
10-16-11.617,1726,15048
10-16-11.680,1720,15032
10-16-11.742,1888,15002
10-16-11.809,2345,14831
10-16-11.871,1489,14989
10-16-11.938,1232,15085
10-16-12.043,1992,14911
10-16-12.074,1326,15093
10-16-12.125,2002,14886
10-16-12.184,1944,14919
10-16-12.246,2019,14923
10-16-12.313,1969,14937
10-16-12.375,1917,14942
10-16-12.441,1900,14950
10-16-12.504,1922,14947
10-16-12.566,1975,14933
10-16-12.633,1958,14910
10-16-12.691,1965,14898
10-16-12.738,1936,15053
10-16-12.805,1860,14943
10-16-12.867,1870,15002
10-16-14.543,1423,15012
10-16-14.609,1855,15068
10-16-14.688,1492,14979
10-16-14.734,1903,14948
10-16-14.816,1879,14935
10-16-14.984,1780,14904
10-16-15.035,1330,15052
10-16-15.086,1729,15011
10-16-15.133,1927,14921
10-16-15.180,2029,14903
10-16-15.242,1769,14942
10-16-15.309,1625,15009
10-16-15.367,1613,15051
10-16-15.434,1628,15055
10-16-15.496,1649,15045
10-16-15.559,1658,15036
10-16-15.625,1661,15021
10-16-15.688,1755,14945
10-16-15.754,2252,14809
10-16-15.816,1801,14989
10-16-15.863,1469,15108
10-16-15.930,1788,15040
10-16-16.039,1774,14924
10-16-16.090,2122,15003
10-16-16.133,1909,14888
10-16-16.180,1939,14894
10-16-16.293,1959,14921
10-16-16.340,1974,14925
10-16-16.387,1986,14928
10-16-16.438,1959,14915
10-16-16.496,2028,14890
10-16-16.559,2014,14849
10-16-16.625,1457,15105
10-16-16.688,1939,15015
10-16-16.754,1968,14915
10-16-16.816,1217,15080
10-16-16.879,1343,15067
10-16-17.035,2025,14890
10-16-17.086,2191,14849
10-16-17.129,2092,14862
10-16-17.176,1911,14902
10-16-17.238,1809,14927
10-16-17.305,1767,14945
10-16-17.367,1714,14957
10-16-17.434,1700,14972
10-16-17.496,1699,14989
10-16-17.559,1703,14985
10-16-17.711,1858,14961
10-16-17.797,2131,14940
10-16-17.844,1499,15042
10-16-17.891,1617,14945
10-16-17.941,2008,15087
10-16-18.035,2150,14849
10-16-18.078,1975,14871
10-16-18.129,2002,14927
10-16-18.176,1896,14948
10-16-18.238,1818,14972
10-16-18.305,1777,14987
10-16-18.367,1816,14984
10-16-18.434,1840,14973
10-16-18.496,1915,14943
10-16-18.559,2046,14893
10-16-18.621,2153,15037
10-16-18.684,2017,14922
10-16-18.746,1977,14936
10-16-18.813,1214,15105
10-16-18.875,1222,15062
10-16-19.031,2152,14859
10-16-19.078,1849,14900
10-16-19.129,1760,14933
10-16-19.176,1738,14935
10-16-19.238,1692,14942
10-16-19.305,1677,14948
10-16-19.367,1700,14943
10-16-19.434,1681,14955
10-16-19.492,1684,14959
10-16-19.555,1749,14950
10-16-19.621,2097,14864
10-16-19.684,2061,14833
10-16-19.746,1363,15018
10-16-19.813,1465,15094
10-16-19.859,1849,14885
10-16-19.926,1420,15098
10-16-20.031,2196,14838
10-16-20.098,1919,14954
10-16-20.160,1885,14977
10-16-20.223,1789,14989
10-16-20.285,1749,14993
10-16-20.441,1714,15006
10-16-20.535,1889,14975
10-16-20.602,1936,14878
10-16-20.664,2062,14880
10-16-20.727,1745,14917
10-16-20.793,1933,14941
10-16-20.855,1141,15102
10-16-20.914,1410,15024
10-16-21.059,1746,14988
10-16-21.121,1682,15017
10-16-21.184,1657,15043
10-16-21.246,1655,15058
10-16-21.313,1661,15049
10-16-21.375,1684,15045
10-16-21.441,1720,15044
10-16-21.504,1724,15021
10-16-21.566,1794,14958
10-16-21.633,2285,14823
10-16-21.695,1635,14952
10-16-21.758,1473,15004
10-16-21.820,1404,15099
10-16-21.898,1962,14879
10-16-21.961,1114,15114
10-16-22.023,1867,14870
10-16-22.090,1975,14921
10-16-22.152,1791,15005
10-16-22.215,1672,15022
10-16-22.281,1619,15036
10-16-22.328,1559,15052
10-16-22.391,1512,15057
10-16-22.453,1534,15058
10-16-22.516,1712,15030
10-16-22.578,1897,14962
10-16-22.645,2028,14881
10-16-22.707,1414,15008
10-16-22.773,1512,14943
10-16-22.820,1888,14905
10-16-22.883,1292,15154
10-16-23.051,1859,14992
10-16-23.121,1734,15029
10-16-23.184,1761,15066
10-16-23.246,1784,15078
10-16-23.313,1802,15084
10-16-23.375,1843,15080
10-16-23.438,1888,15070
10-16-23.500,1925,15077
10-16-23.563,1841,15095
10-16-23.629,1702,14994
10-16-23.688,2242,14947
10-16-23.754,1498,15093
10-16-23.816,1883,14983
10-16-23.879,1395,14895
10-16-23.945,2302,14980
10-16-24.023,2021,14840
10-16-24.090,1847,14948
10-16-24.152,1737,15004
10-16-24.215,1670,15025
10-16-24.277,1581,15038
10-16-24.340,1611,15036
10-16-24.410,1697,15002
10-16-24.484,1864,14951
10-16-24.543,1041,15149
10-16-24.609,1864,14900
10-16-24.672,1691,14924
10-16-24.734,1294,15140
10-16-24.801,1660,15046
10-16-24.863,2113,14861
10-16-25.020,1701,15047
10-16-25.086,1731,15079
10-16-25.148,1793,15087
10-16-25.211,1833,15082
10-16-25.277,1856,15081
10-16-25.340,1890,15075
10-16-25.402,1764,15088
10-16-25.469,1665,15078
10-16-25.527,2277,14875
10-16-25.574,1452,14978
10-16-25.641,1479,15105
10-16-25.703,1893,14891
10-16-25.887,1117,15124
10-16-25.891,2302,14791
10-16-25.945,1837,14960
10-16-26.020,1734,15002
10-16-26.086,1631,15023
10-16-26.148,1598,15035
10-16-26.211,1645,15032
10-16-26.277,1825,14993
10-16-26.340,1920,14896
10-16-26.398,2276,14937
10-16-26.465,1123,15141
10-16-26.527,1941,14901
10-16-26.594,1870,14974
10-16-26.656,1189,15127
10-16-26.719,1281,15056
10-16-26.785,1988,14995
10-16-26.844,2102,14869
10-16-26.906,1786,14962
10-16-27.020,1697,15045
10-16-27.086,1689,15068
10-16-27.145,1700,15074
10-16-27.207,1739,15080
10-16-27.273,1789,15080
10-16-27.336,1761,15078
10-16-27.398,1744,15070
10-16-27.465,2051,14993
10-16-27.523,1954,14856
10-16-27.590,1536,14960
10-16-27.652,1867,15009
10-16-27.715,1076,15021
10-16-27.777,1461,14909
10-16-27.840,2026,14893
10-16-27.902,1828,14980
10-16-27.969,1768,15004
