Time,I,Q
10-12-2.496,2550,15024
10-12-2.512,2520,15032
10-12-2.590,2489,15035
10-12-2.648,2469,15037
10-12-2.711,2472,15040
10-12-2.777,2478,15039
10-12-2.836,2470,15039
10-12-2.895,2464,15040
10-12-2.961,2462,15043
10-12-3.023,2459,15041
10-12-3.090,2466,15040
10-12-3.254,2480,15036
10-12-3.273,2482,15036
10-12-3.336,2484,15037
10-12-3.398,2497,15034
10-12-3.461,2499,15028
10-12-3.508,2495,15034
10-12-3.590,2488,15035
10-12-3.652,2484,15034
10-12-3.715,2485,15036
10-12-3.781,2488,15036
10-12-3.840,2494,15035
10-12-3.902,2492,15036
10-12-3.969,2492,15036
10-12-4.168,2493,15035
10-12-4.258,2491,15036
10-12-4.289,2481,15035
10-12-4.348,2483,15039
10-12-4.410,2486,15037
10-12-4.461,2485,15038
10-12-4.520,2470,15041
10-12-4.586,2463,15045
10-12-4.648,2447,15046
10-12-4.711,2444,15046
10-12-4.777,2421,15050
10-12-4.840,2381,15059
10-12-4.898,2350,15064
10-12-4.965,2349,15070
10-12-5.027,2371,15067
10-12-5.094,2381,15061
10-12-5.254,2404,15059
10-12-5.285,2384,15062
10-12-5.344,2381,15061
10-12-5.406,2383,15061
10-12-5.473,2392,15058
10-12-5.535,2393,15056
10-12-5.586,2391,15057
10-12-5.648,2384,15057
10-12-5.707,2378,15055
10-12-5.773,2375,15059
10-12-5.836,2379,15058
10-12-5.898,2373,15061
10-12-5.965,2370,15062
10-12-6.023,2373,15063
10-12-6.090,2364,15064
10-12-6.152,2363,15065
10-12-6.246,2366,15064
10-12-6.277,2356,15066
10-12-6.340,2341,15066
10-12-6.402,2324,15073
10-12-6.469,2292,15080
10-12-6.531,2280,15085
10-12-6.598,2258,15090
10-12-6.660,2233,15097
10-12-6.707,2212,15101
10-12-6.781,2206,15102
10-12-6.832,2214,15101
10-12-6.895,2215,15101
10-12-6.961,2209,15102
10-12-7.023,2194,15105
10-12-7.090,2178,15108
10-12-7.262,2147,15122
10-12-7.277,2142,15128
10-12-7.340,2148,15126
10-12-7.402,2137,15123
10-12-7.465,2334,15021
10-12-7.527,2856,15218
10-12-7.594,1719,15323
10-12-7.656,1700,15283
10-12-7.719,2472,15070
10-12-7.770,2721,15006
10-12-7.832,1784,15195
10-12-7.895,1968,15159
10-12-7.961,2146,15099
10-12-8.023,2781,14984
10-12-8.086,2590,15093
10-12-8.258,2470,15150
10-12-8.277,2612,15181
10-12-8.340,2738,15152
10-12-8.402,2784,15132
10-12-8.465,2757,15126
10-12-8.527,2882,15081
10-12-8.594,2919,15063
10-12-8.656,2846,15105
10-12-8.719,2623,15152
10-12-8.770,2441,15090
10-12-8.832,2833,14934
10-12-8.891,2242,15145
10-12-8.957,2036,15141
10-12-9.020,1894,15278
10-12-9.086,2648,15047
10-12-9.273,1434,15244
10-12-9.336,2248,15093
10-12-9.398,2334,15061
10-12-9.465,2056,15118
10-12-9.527,2137,15115
10-12-9.594,2196,15108
10-12-9.652,2170,15113
10-12-9.715,2132,15113
10-12-9.781,2107,15109
10-12-9.828,2096,15103
10-12-9.891,2078,15104
10-12-9.957,2057,15109
10-12-10.016,2047,15116
10-12-10.078,2029,15119
10-12-10.145,2018,15119
10-12-10.258,2027,15112
10-12-10.273,2034,15113
10-12-10.336,2041,15110
10-12-10.398,2044,15109
10-12-10.461,2047,15108
10-12-10.523,2047,15109
10-12-10.590,2041,15109
10-12-10.652,2044,15108
10-12-10.715,2045,15109
10-12-10.781,2041,15110
10-12-10.840,2046,15108
10-12-10.980,2047,15108
10-12-11.016,2048,15104
10-12-11.078,2049,15107
10-12-11.258,2048,15107
10-12-11.270,2049,15108
10-12-11.332,2051,15108
10-12-11.395,2047,15108
10-12-11.461,2047,15108
10-12-11.523,2044,15109
10-12-11.590,2044,15108
10-12-11.652,2050,15106
10-12-11.715,2049,15106
10-12-11.766,2047,15107
10-12-11.828,2051,15107
10-12-11.891,2054,15106
10-12-11.957,2054,15104
10-12-12.020,2048,15107
10-12-12.078,2042,15110
10-12-12.145,2039,15111
10-12-12.238,2035,15112
10-12-12.273,2036,15112
10-12-12.336,2026,15114
10-12-12.398,2022,15115
10-12-12.465,2024,15114
10-12-12.527,2019,15116
10-12-12.594,2019,15115
10-12-12.652,2017,15116
10-12-12.699,2013,15118
10-12-12.766,2013,15118
10-12-12.828,2009,15120
10-12-12.891,2006,15121
10-12-12.957,2004,15123
